,game_id,year_id,fran_id,opp_fran,game_location,is_playoffs,pts,opp_pts,game_result,forecast,point_diff
22184,201011030LAC,2011,Thunder,Clippers,A,0,92,107,L,0.66059875,-15
22185,201011030NJN,2011,Nets,Hornets,H,0,83,85,L,0.42671737,-2
22186,201011030PHO,2011,Spurs,Suns,A,0,112,110,W,0.29872018,2
22187,201011040CHI,2011,Knicks,Bulls,A,0,120,112,W,0.26364142,8
22188,201011040POR,2011,Thunder,Trailblazers,A,0,107,106,W,0.29911304,1
22189,201011050BOS,2011,Celtics,Bulls,H,0,110,105,W,0.8086704,5
22190,201011050NYK,2011,Knicks,Wizards,H,0,112,91,W,0.70423126,21
22191,201011050ORL,2011,Nets,Magic,A,0,90,105,L,0.081301153,-15
22192,201011060MIA,2011,Nets,Heat,A,0,89,101,L,0.12423074,-12
22193,201011060SAS,2011,Spurs,Rockets,H,0,124,121,W,0.78239489,3
22194,201011070NYK,2011,Knicks,Sixers,H,0,96,106,L,0.69334394,-10
22195,201011070OKC,2011,Celtics,Thunder,A,0,92,83,W,0.49619865,9
22196,201011070OKC,2011,Thunder,Celtics,H,0,83,92,L,0.50380135,-9
22197,201011080CHA,2011,Spurs,Hornets,A,0,95,91,W,0.50473672,4
22198,201011080DAL,2011,Celtics,Mavericks,A,0,87,89,L,0.46764636,-2
22199,201011090MIL,2011,Knicks,Bucks,A,0,80,107,L,0.2732259,-27
22200,201011090NJN,2011,Nets,Cavaliers,H,0,91,93,L,0.31435865,-2
22201,201011100CLE,2011,Nets,Cavaliers,A,0,95,87,W,0.1231786,8
22202,201011100NYK,2011,Knicks,Warriors,H,0,117,122,L,0.5857113,-5
22203,201011100OKC,2011,Thunder,Sixers,H,0,109,103,W,0.7693097,6
22204,201011100SAS,2011,Spurs,Clippers,H,0,107,95,W,0.88310438,12
22205,201011110MIA,2011,Celtics,Heat,A,0,112,107,W,0.44870096,5
22206,201011120MIN,2011,Knicks,Timberwolves,A,0,103,112,L,0.50016773,-9
22207,201011120OKC,2011,Thunder,Trailblazers,H,0,110,108,W,0.5817312,2
22208,201011130MEM,2011,Celtics,Grizzlies,A,0,116,110,W,0.62584352,6
22209,201011130NJN,2011,Nets,Magic,H,0,90,91,L,0.26075047,-1
22210,201011130SAS,2011,Spurs,Sixers,H,0,116,93,W,0.8396672,23
22211,201011140NYK,2011,Knicks,Rockets,H,0,96,104,L,0.54064631,-8
22212,201011140OKC,2011,Spurs,Thunder,A,0,117,104,W,0.45742077,13
22213,201011140OKC,2011,Thunder,Spurs,H,0,104,117,L,0.54257923,-13
22214,201011150LAC,2011,Nets,Clippers,A,0,110,96,W,0.38910323,14
22215,201011150UTA,2011,Thunder,Jazz,A,0,115,108,W,0.25695938,7
22216,201011160DEN,2011,Knicks,Nuggets,A,0,118,120,L,0.1640327,-2
22217,201011170BOS,2011,Celtics,Wizards,H,0,114,83,W,0.89624113,31
22218,201011170OKC,2011,Thunder,Rockets,H,0,116,99,W,0.71719927,17
22219,201011170SAC,2011,Knicks,Kings,A,0,113,106,W,0.44191545,7
22220,201011170SAS,2011,Spurs,Bulls,H,0,103,94,W,0.76977962,9
22221,201011170UTA,2011,Nets,Jazz,A,0,88,98,L,0.13854915,-10
22222,201011190BOS,2011,Thunder,Celtics,A,0,89,84,W,0.22561401,5
22223,201011190BOS,2011,Celtics,Thunder,H,0,84,89,L,0.77438599,-5
22224,201011190GSW,2011,Knicks,Warriors,A,0,125,119,W,0.2911604,6
22225,201011190SAC,2011,Nets,Kings,A,0,81,86,L,0.43130761,-5
22226,201011190UTA,2011,Spurs,Jazz,A,0,94,82,W,0.3996799,12
22227,201011200DEN,2011,Nets,Nuggets,A,0,103,107,L,0.14764017,-4
22228,201011200LAC,2011,Knicks,Clippers,A,0,124,115,W,0.50153542,9
22229,201011200MIL,2011,Thunder,Bucks,A,0,82,81,W,0.41705108,1
22230,201011200SAS,2011,Spurs,Cavaliers,H,0,116,92,W,0.76588303,24
22231,201011210TOR,2011,Celtics,Raptors,A,0,101,102,L,0.64372694,-1
22232,201011220ATL,2011,Celtics,Hawks,A,0,99,76,W,0.4664591,23
22233,201011220OKC,2011,Thunder,Timberwolves,H,0,117,107,W,0.88018805,10
22234,201011220SAS,2011,Spurs,Magic,H,0,106,97,W,0.6214928,9
22235,201011230NJN,2011,Nets,Hawks,H,0,107,101,W,0.38903874,6
22236,201011230NYK,2011,Knicks,Hornets,H,0,110,107,W,0.51575917,3
22237,201011240BOS,2011,Nets,Celtics,A,0,83,89,L,0.098669767,-6
22238,201011240BOS,2011,Celtics,Nets,H,0,89,83,W,0.90133023,6
22239,201011240CHA,2011,Knicks,Hornets,A,0,99,95,W,0.26377481,4
22240,201011240MIN,2011,Spurs,Timberwolves,A,0,113,109,W,0.79820782,4
22241,201011240OKC,2011,Thunder,Mavericks,H,0,103,111,L,0.60962778,-8
22242,201011260BOS,2011,Celtics,Raptors,H,0,110,101,W,0.85241145,9
22243,201011260IND,2011,Thunder,Pacers,A,0,110,106,W,0.39250499,4
22244,201011260SAS,2011,Spurs,Mavericks,H,0,94,103,L,0.71093845,-9
22245,201011270NYK,2011,Knicks,Hawks,H,0,90,99,L,0.49883476,-9
22246,201011270PHI,2011,Nets,Sixers,A,0,86,102,L,0.33606756,-16
22247,201011280DET,2011,Knicks,Pistons,A,0,125,116,W,0.40348428,9
22248,201011280HOU,2011,Thunder,Rockets,A,0,98,99,L,0.51133144,-1
22249,201011280NJN,2011,Nets,Trailblazers,H,0,98,96,W,0.41083109,2
22250,201011280NOH,2011,Spurs,Pelicans,A,0,109,95,W,0.49139816,14
22251,201011290OKC,2011,Thunder,Pelicans,H,0,95,89,W,0.67187977,6
22252,201011300CLE,2011,Celtics,Cavaliers,A,0,106,87,W,0.55994761,19
22253,201011300GSW,2011,Spurs,Warriors,A,0,118,98,W,0.67583537,20
22254,201011300NYK,2011,Nets,Knicks,A,0,100,111,L,0.27433395,-11
22255,201011300NYK,2011,Knicks,Nets,H,0,111,100,W,0.72566605,11
22256,201012010BOS,2011,Celtics,Trailblazers,H,0,99,95,W,0.82124275,4
22257,201012010LAC,2011,Spurs,Clippers,A,0,85,90,L,0.80585843,-5
22258,201012010NJN,2011,Thunder,Nets,A,0,123,120,W,0.63370919,3
22259,201012010NJN,2011,Nets,Thunder,H,0,120,123,L,0.36629081,-3
22260,201012030BOS,2011,Celtics,Bulls,H,0,104,92,W,0.81771255,12
22261,201012030CHA,2011,Nets,Hornets,A,0,84,91,L,0.21397197,-7
22262,201012030NOH,2011,Knicks,Pelicans,A,0,100,92,W,0.25091416,8
22263,201012030SAS,2011,Spurs,Timberwolves,H,0,107,101,W,0.92942774,6
22264,201012030TOR,2011,Thunder,Raptors,A,0,99,111,L,0.52764082,-12
22265,201012050NJN,2011,Nets,Celtics,H,0,75,100,L,0.21733621,-25
22266,201012050NJN,2011,Celtics,Nets,A,0,100,75,W,0.78266382,25
22267,201012050OKC,2011,Thunder,Warriors,H,0,114,109,W,0.80226934,5
22268,201012050SAS,2011,Spurs,Pelicans,H,0,109,84,W,0.78901416,25
22269,201012050TOR,2011,Knicks,Raptors,A,0,116,99,W,0.36444509,17
